Add a vehicle from CSV, 2020-04-15 22:57:30.536
Add a vehicle from CSV, 2020-04-15 22:57:30.542
Add a vehicle from CSV, 2020-04-15 22:57:30.543
Add a vehicle from CSV, 2020-04-15 22:57:30.543
Add a vehicle from CSV, 2020-04-15 22:57:30.543
Add a vehicle from CSV, 2020-04-15 22:57:30.543
Add a vehicle from CSV, 2020-04-15 22:57:30.544
Add a vehicle from CSV, 2020-04-15 22:57:30.544
Add a vehicle from CSV, 2020-04-15 22:57:30.544
Add a vehicle from CSV, 2020-04-15 22:57:30.544
Add a vehicle from CSV, 2020-04-15 22:57:30.544
Calculate the price and sell a vehicle, 2020-04-15 22:59:50.584
Calculate the price and sell a vehicle, 2020-04-15 22:59:51.473
Calculate the price and sell a vehicle, 2020-04-15 22:59:52.165
Calculate the price and sell a vehicle, 2020-04-15 22:59:52.817
Calculate the price and sell a vehicle, 2020-04-15 22:59:53.504
Calculate the price and sell a vehicle, 2020-04-15 22:59:54.098
Calculate the price and sell a vehicle, 2020-04-15 22:59:54.711
Calculate the price and sell a vehicle, 2020-04-15 22:59:55.199
Calculate the price and sell a vehicle, 2020-04-15 22:59:55.685
Display vehicles, 2020-04-15 22:59:56.961
Add a vehicle, 2020-04-15 23:00:17.818
Display vehicles, 2020-04-15 23:00:24.335
Add a vehicle, 2020-04-15 23:00:59.731
Display vehicles, 2020-04-15 23:01:13.543
Display the most expensive vehicle, 2020-04-15 23:01:17.946
Display the total cost of the vehicles in the deposit, 2020-04-15 23:01:18.969
Display all brands in sorted order, 2020-04-15 23:01:19.277
How many vehicles are in the deposit, 2020-04-15 23:01:19.521
How many vehicles are in the deposit, 2020-04-15 23:01:20.578
Display clients, 2020-04-15 23:01:21.57
Add a client, 2020-04-15 23:01:30.397
Display vehicles, 2020-04-15 23:01:31.748
Add a client, 2020-04-15 23:01:37.442
Display vehicles, 2020-04-15 23:01:39.447
Display clients, 2020-04-15 23:01:40.855
Display vehicles, 2020-04-15 23:01:51.264
Calculate the price and sell a vehicle, 2020-04-15 23:02:00.342
Display vehicles, 2020-04-15 23:02:01.09
Quit the application, 2020-04-15 23:02:04.491
